,Game,finHypervolume,numPareto,RewardAgent0,RewardAgent1,RewardAgent2,global_Reward
0,1531,0.596,8.0,243.411,243.21,243.594,484.116
1,651,0.634,9.0,201.691,201.549,202.017,401.577
2,1911,0.568,3.0,235.908,235.55,235.51,438.455
3,61,0.45,2.0,190.216,190.122,190.081,345.264
4,621,0.611,6.0,199.896,199.764,200.14,391.459
5,1861,0.661,3.0,248.105,247.999,248.061,469.149
6,1961,0.642,5.0,254.68,254.532,254.502,480.47
7,451,0.539,10.0,172.571,172.436,172.595,339.798
8,1131,0.648,12.0,215.811,215.729,216.238,431.767
9,1541,0.607,4.0,253.658,253.584,254.183,473.726
10,1671,0.672,4.0,254.818,254.709,255.017,507.37
11,1991,0.547,3.0,228.112,227.877,227.825,420.351
12,851,0.504,5.0,190.851,190.755,191.178,369.392
13,311,0.5,6.0,165.36,165.236,165.338,325.103
14,1111,0.606,8.0,193.582,193.443,193.743,385.683
15,1781,0.647,9.0,252.37,252.297,252.518,481.418
16,991,0.59,11.0,181.668,181.535,182.02,367.066
17,1681,0.688,8.0,251.81,251.867,252.603,513.333
18,1021,0.587,6.0,228.536,228.468,228.952,456.097
19,731,0.598,7.0,185.912,185.816,186.39,373.621
20,591,0.552,5.0,168.945,168.817,169.131,334.168
21,1281,0.637,7.0,208.338,208.27,208.931,425.195
22,1951,0.624,7.0,230.784,230.56,230.865,449.194
23,961,0.576,12.0,183.282,183.189,183.536,363.833
24,561,0.54,9.0,192.805,192.704,193.02,380.028
25,411,0.514,7.0,193.368,193.261,193.535,384.054
26,401,0.577,17.0,157.137,157.07,157.427,316.116
27,1791,0.602,4.0,228.464,228.242,228.374,421.397
28,381,0.522,8.0,193.931,193.841,194.051,379.006
29,1121,0.581,10.0,183.866,183.808,184.581,375.838
30,681,0.556,13.0,166.669,166.572,166.934,332.835
31,1501,0.588,5.0,240.113,239.996,240.421,475.944
32,1411,0.636,13.0,221.092,220.962,221.6,451.687
33,821,0.608,9.0,187.367,187.366,187.82,372.238
34,1091,0.617,13.0,212.977,212.826,213.356,425.01
35,531,0.601,8.0,213.064,212.954,213.249,425.613
36,1771,0.634,3.0,242.174,242.051,242.098,453.912
37,671,0.519,9.0,188.74,188.637,189.003,372.391
38,91,0.452,7.0,186.552,186.575,186.439,367.444
39,1341,0.621,5.0,244.014,244.007,244.433,483.756
40,1161,0.603,13.0,203.403,203.204,203.541,406.624
41,981,0.578,16.0,182.127,182.029,182.538,364.056
42,1001,0.592,11.0,222.743,222.528,222.826,447.005
43,1451,0.637,9.0,230.617,230.573,231.085,452.336
44,1561,0.563,1.0,252.462,252.333,252.757,462.719
45,1071,0.618,12.0,206.98,206.851,207.231,414.086
46,1661,0.638,6.0,246.318,246.119,246.45,475.644
47,421,0.542,8.0,162.182,162.06,162.336,322.321
48,461,0.492,12.0,165.035,164.918,165.23,327.069
49,741,0.583,10.0,176.22,176.079,176.38,349.291
50,431,0.475,13.0,144.6,144.48,144.856,286.192
51,1621,0.634,4.0,210.611,210.447,210.77,379.104
52,1921,0.609,7.0,254.278,254.238,254.429,501.419
53,601,0.538,9.0,169.453,169.308,169.805,340.34
54,1081,0.574,15.0,177.667,177.488,177.86,359.459
55,1721,0.622,8.0,250.371,250.301,250.537,501.02
56,2001,0.65,3.0,254.306,254.066,254.113,489.606
57,1841,0.593,5.0,239.559,239.466,239.689,460.166
58,151,0.459,7.0,178.128,177.807,177.822,346.454
59,1591,0.603,5.0,239.258,239.314,239.498,473.531
60,1271,0.612,7.0,233.172,232.999,233.435,465.538
61,1601,0.601,11.0,248.428,248.406,248.825,500.127
62,631,0.613,13.0,187.521,187.371,187.717,377.525
63,1461,0.642,10.0,246.606,246.373,246.825,481.506
64,971,0.504,4.0,210.575,210.496,211.131,392.335
65,711,0.627,7.0,204.158,204.063,204.495,401.605
66,371,0.518,12.0,161.772,161.68,162.016,318.582
67,1391,0.675,16.0,232.904,232.751,233.08,469.625
68,1941,0.654,5.0,228.129,228.066,228.125,432.219
69,831,0.53,13.0,159.668,159.599,160.052,320.25
70,1851,0.547,3.0,192.037,191.519,191.601,348.429
71,1241,0.588,19.0,185.013,184.914,185.538,379.822
72,1351,0.667,8.0,258.259,258.029,258.365,507.349
73,281,0.585,10.0,177.27,177.111,177.29,351.016
74,1211,0.571,5.0,205.977,205.828,206.352,407.069
75,1981,0.545,1.0,222.239,221.845,221.625,401.423
76,1641,0.662,2.0,243.211,243.048,243.345,461.957
77,1291,0.644,4.0,248.797,248.811,249.373,497.312
78,701,0.557,10.0,183.622,183.557,183.929,365.162
79,471,0.537,11.0,172.142,172.02,172.301,341.069
80,1491,0.619,4.0,241.19,241.1,241.439,445.32
81,1101,0.64,15.0,195.835,195.788,196.351,401.165
82,881,0.579,5.0,212.568,212.457,212.81,411.538
83,241,0.472,6.0,186.277,186.197,186.403,364.6
84,221,0.485,4.0,177.009,176.915,177.25,322.736
85,1521,0.582,5.0,233.528,233.467,233.763,460.11
